prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
49	5.298175139583835	IM-227	IM-303	M	P	0.06261814083324801	0.0	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	A MACRO TRANSPORT COEFFICIENT CAN BE RECOVERED FROM TIME-INTEGRATED MEMORY OF MICROSCOPIC SPONTANEOUS CURRENTS	M-317	P-104	M-317:Continuous semimartingale	P-104:Equilibrium statistical mechanics	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
50	5.295323769601536	IM-148	IM-278	P	M	0.0624116176001164	0.0	0.0	A VARIABLE CAN BE IRRELEVANT FOR THE MAIN LIMIT YET ESSENTIAL FOR A PARTICULAR OBSERVABLE	ALTERNATING LOCAL CORRECTIONS MAY NEED A MEMORY OF PREVIOUS CORRECTION ERROR TO CONVERGE TO RIGHT GLOBAL OBJECT	P-159	M-159	P-159:RG structure	M-159:Convex sets	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
51	5.28870805444425	IM-196	IM-010	M	E;P	0.02712055003393487	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	PHYSICAL TOPOLOGY / POTENTIAL TOPOLOGY / CURRENTLY USABLE TOPOLOGY	M-279; M-280	P-1000; P-999; P-990; P-991; E-916; P-776	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-1000:State-dependent connectivity | P-999:Geometry + finite coupling | P-990:Asymmetric recovery/coupling | P-991:Propagation threshold | E-916:Heterogeneous banks | P-776:Transport accessibility	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
52	5.2851156528681935	IM-311	IM-231	S	M	0.040322577965577214	0.11764705882352941	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	UNDER THE RIGHT CONVEX SHELL, GLOBAL FEASIBILITY CAN BE CERTIFIED BY CHECKING ONLY SMALL SUBSETS	S-174	M-199	S-174:Rare/weak regime	M-199:Finite-dimensional convexity	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
53	5.282568437538208	IM-206	IM-189	M	S	0.02659086993401987	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	RANDOM-TIME OBSERVATION OVERREPRESENTS LONG-LIVED STATES/EPISODES	M-125; M-126	S-272	M-125: Regularity assumptions; M-126: Summability structure	S-272: Duration-biased sampling	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
54	5.282087514355368	IM-325	IM-335	M	S	0.026549281403783827	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	M-866; M-867; M-869; M-874; M-880	S-048; S-049; S-050	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
55	5.278247776980103	IM-312	IM-208	S	M	0.07928591321540182	0.0	0.0	TARGET-SPECIFIC LOCAL CONTAMINATION SENSITIVITY CAN BOTH CORRECT AN ESTIMATE AND DEFINE BEST ACHIEVABLE FIRST-ORDER PRECISION	A NON-MARKOV OBSERVED PROCESS CAN BECOME MARKOV AFTER ADDING THE RIGHT MEMORY VARIABLE	S-017; S-121; S-122	M-121; M-122	S-017:Local contamination analysis | S-121:Tangent-space theory | S-122:Regular models	M-121: Markovization; M-122: Duration dependence	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
56	5.274885297828621	IM-236	IM-223	S	M	0.066886969951552	0.058823529411764705	0.0	ITERATIVE SELF-FEEDBACK CREATES CORRELATED RESIDUALS; ADD A CORRECTION THAT CANCELS MEMORY OF PREVIOUS ITERATION	ENFORCE A HARD STATE CONSTRAINT WITH MINIMUM NECESSARY CORRECTION AND TRACK THAT CORRECTION SEPARATELY	S-911; S-912	M-329	S-911:Random high-dimensional design | S-912:AMP	M-329:Hard state constraint	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
57	5.273218828915176	IM-254	IM-101	M	E	0.06859551303185758	0.07692307692307693	0.0	THE SAME OBJECT CAN HAVE TWO DUAL COORDINATE SYSTEMS IN WHICH DIFFERENT OPERATIONS BECOME SIMPLE	SAME OBJECT CAN AUTOMATICALLY CHANGE ROLE WHEN STATE CROSSES TRIGGER	M-273	E-718; E-775	M-273:Information geometry	E-718:Contractual trigger | E-775:Verifiable performance	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
58	5.266365705359301	IM-280	IM-359	S	E	0.06594160704132566	0.05555555555555555	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	S-390	E-401	S-390:Online feedback	E-401:Sender commitment to information structure	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
59	5.265317779764354	IM-206	IM-066	M	S	0.025089952635870764	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	SAME OBSERVED DATA + DIFFERENT DATA-GENERATING DESIGN → DIFFERENT VALID INFERENCE	M-125; M-126	S-750; S-754; S-760	M-125: Regularity assumptions; M-126: Summability structure	S-750:Design-aware inference | S-754:Known assignment mechanism | S-760:Experimental design	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
60	5.259039933535736	IM-225	IM-381	M	P	0.024538953577665223	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	A PROPAGATING EXCITATION CAN BECOME SELF-SUSTAINING ON A LOOP IF RETURN TIME EXCEEDS LOCAL RECOVERY TIME	M-311; M-313	P-984; P-985; P-994; P-1000	M-311:Martingale difference structure | M-313:Martingale variance process	P-984:Recovery variable | P-985:Fast–slow system | P-994:Recovery + closed path | P-1000:State-dependent connectivity	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
61	5.257828762450042	IM-265	IM-343	M	S	0.07415565202003145	0.14285714285714285	0.0	WHEN THE PROCESS ITSELF IS UNCONTROLLABLE, TIMING OF EXIT CAN STILL BE THE CONTROL VARIABLE	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	M-341; M-343	S-349; S-350; S-351; S-352	M-341:Stochastic process + stopping rule | M-343:Markov optimal stopping	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
62	5.254041703623814	IM-334	IM-357	S	E	0.059414350135495085	0.0	0.0	AN ACTION CAN HAVE TWO VALUES AT ONCE: CURRENT PAYOFF AND INFORMATION ABOUT FUTURE PAYOFFS	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	S-042; S-043; S-044	E-099	S-042:Reward feedback | S-043:Bayesian model | S-044:Concentration assumptions	E-099:Sequential social learning	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
63	5.251796584285795	IM-346	IM-221	S	P	0.07735203032342287	0.0	0.0	BLOCKWISE ROBUST AGGREGATION CAN CONTROL HEAVY TAILS WITHOUT TRUSTING THE GLOBAL MEAN	ABANDON EXTREME SLOW TRAJECTORIES AND RESTART; MEAN COMPLETION CAN IMPROVE EVEN THOUGH WORK IS DISCARDED	S-141; S-142	P-131	S-141:Heavy-tail robustness | S-142:Moment assumptions	P-131:Heavy-tail/variable completion time	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
64	5.241689740826941	IM-249	IM-107	M	S	0.0230022572132362	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-655	S-131; S-136; S-447	M-655:Potential equivalence	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
65	5.241389412778754	IM-225	IM-357	M	E	0.022975472949923803	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	M-311; M-313	E-099	M-311:Martingale difference structure | M-313:Martingale variance process	E-099:Sequential social learning	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
66	5.239594993100326	IM-335	IM-359	S	E	0.06433809821838248	0.058823529411764705	0.0	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	S-048; S-049; S-050	E-401	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	E-401:Sender commitment to information structure	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
67	5.239594993100326	IM-359	IM-335	E	S	0.06433809821838248	0.058823529411764705	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	E-401	S-048; S-049; S-050	E-401:Sender commitment to information structure	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
68	5.239545265158083	IM-311	IM-320	S	M	0.02281086514753728	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A FLOW CAN BE DECOMPOSED INTO POTENTIAL, CIRCULATING, AND TOPOLOGICAL COMPONENTS	S-174	M-497; M-498	S-174:Rare/weak regime	M-497:Inner-product differential complex | M-498:Oriented graph/complex	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
69	5.238379674688539	IM-148	IM-339	P	S	0.05827290827793859	0.0	0.0	A VARIABLE CAN BE IRRELEVANT FOR THE MAIN LIMIT YET ESSENTIAL FOR A PARTICULAR OBSERVABLE	A SCORE CAN MAKE HONEST PROBABILITY REPORTING OPTIMAL	P-159	S-159	P-159:RG structure	S-159:Probabilistic forecasts	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
70	5.236120278936511	IM-189	IM-314	S	M	0.05810801431586354	0.0	0.0	RANDOM-TIME OBSERVATION OVERREPRESENTS LONG-LIVED STATES/EPISODES	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	S-272	M-401	S-272: Duration-biased sampling	M-401:Deterministic dynamics + observable space	passive inference/diagnostic	probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
71	5.236120278936511	IM-314	IM-189	M	S	0.05810801431586354	0.0	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	RANDOM-TIME OBSERVATION OVERREPRESENTS LONG-LIVED STATES/EPISODES	M-401	S-272	M-401:Deterministic dynamics + observable space	S-272: Duration-biased sampling	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
72	5.2350111489708455	IM-220	IM-206	P	M	0.097148682470916	0.09090909090909091	0.0	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	P-126; P-127	M-125; M-126	P-126: Initial equilibrium; P-127: Microscopic reversibility	M-125: Regularity assumptions; M-126: Summability structure	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
73	5.23495257587024	IM-196	IM-222	M	P	0.03242376704186256	0.08333333333333333	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	RECOVERY TIME CAN DIVERGE BEFORE THE STATE ITSELF VISIBLY COLLAPSES	M-279; M-280	P-119; P-120	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-119:Near bifurcation/criticality | P-120:Specific transition classes	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
74	5.233518154669443	IM-181	IM-383	M	P	0.02227118685246815	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	A SYSTEM CAN ENTER A LESS-STABLE INTERMEDIATE FIRST BECAUSE ITS ACCESS BARRIER IS LOWER THAN THE DIRECT PATH TO THE GLOBAL BEST STATE	M-431; M-432	P-357	M-431: PDE boundary access; M-432: Elliptic PDE	P-357:Competing kinetic barriers	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
75	5.229832300857875	IM-311	IM-086	S	M	0.021939848679736418	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	DISCRETE OBSERVED STATES CAN BE CREATED BY OBSERVATION RULE, NOT DISCRETE REAL STATES	S-174	M-681; M-682; M-687; M-689; M-694	S-174:Rare/weak regime	M-681:Partitioned state space | M-682:Dynamical partition | M-687:Hyperbolic dynamics | M-689:Many-to-one dynamics map | M-694:Measure dynamics	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
76	5.228954453184631	IM-311	IM-163	S	M	0.021860787744948595	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	PARAMETER/OBJECTIVE SPACE CAN BE PARTITIONED BY WHICH CONSTRAINT/FACE/OPTIMUM IS ACTIVE	S-174	M-531	S-174:Rare/weak regime	M-531: Polytope	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
77	5.2279854653442355	IM-311	IM-214	S	M	0.021773452358339815	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A CERTIFICATE CAN LOOK CORRECT ALGEBRAICALLY YET BE INVALID BECAUSE LOCAL CONSTRAINT GEOMETRY IS DEGENERATE	S-174	M-525; M-526; M-527	S-174:Rare/weak regime	M-525: Differentiable constrained optimization; M-526: Local constraint geometry; M-527: Convex optimization	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
78	5.225587577519858	IM-252	IM-367	M	P	0.05733850085102977	0.0	0.0	GREEDY LOCAL CHOICE CAN BE GLOBALLY EXACT — BUT ONLY UNDER AN EXCHANGE-INDEPENDENCE GEOMETRY	DYNAMICS CAN SLOW BY ORDERS OF MAGNITUDE WITHOUT A CORRESPONDING ORDINARY STATIC ORDERING TRANSITION	M-052	P-052	M-052:Matroid structure	P-052:Frustration/complex energy landscape	mechanism/structural	certificate/exact;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
79	5.225261752591566	IM-359	IM-343	E	S	0.05731467400302807	0.0	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	E-401	S-349; S-350; S-351; S-352	E-401:Sender commitment to information structure	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
80	5.223339251703221	IM-196	IM-381	M	P	0.030711940184502406	0.07692307692307693	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A PROPAGATING EXCITATION CAN BECOME SELF-SUSTAINING ON A LOOP IF RETURN TIME EXCEEDS LOCAL RECOVERY TIME	M-279; M-280	P-984; P-985; P-994; P-1000	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-984:Recovery variable | P-985:Fast–slow system | P-994:Recovery + closed path | P-1000:State-dependent connectivity	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
81	5.22125496540598	IM-225	IM-164	M	P	0.021164894521580956	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	COARSE-GRAINING CAN CREATE A VALID EFFECTIVE LAW ONLY AFTER HIDDEN FAST VARIABLES HAVE RELAXED/MIXED	M-311; M-313	P-108; P-111; P-030	M-311:Martingale difference structure | M-313:Martingale variance process	P-108: Time-scale separation; P-111: Fast periodic/ergodic motion; P-030: Scale separation/controlled approximation	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
82	5.218087643929195	IM-357	IM-267	E	M	0.06767003425367786	0.0	0.0	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	THE VALUE OF PERFECT FUTURE INFORMATION CAN BE BOUNDED WITHOUT HAVING THAT INFORMATION	E-099	M-345	E-099:Sequential social learning	M-345:Sequential selection	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
83	5.2139753565324565	IM-313	IM-191	P	S	0.07515967811853944	0.07692307692307693	0.0	SYMMETRY CAN CERTIFY A CONSERVED QUANTITY	LATENT COMPONENT NAMES MAY BE PURE SYMMETRY; A NAMED HIDDEN CLASS IS NOT AUTOMATICALLY AN IDENTIFIED ENTITY	P-015	S-269; S-270	P-015:Action/Lagrangian symmetry	S-269: Structural conditions; S-270: Symmetry	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
84	5.213875317222913	IM-032	IM-152	M;S	P	0.07459413564876416	0.0	0.0	MISSING OBSERVATIONS + STRUCTURE → RECONSTRUCTION POSSIBLE	MORE SCATTERING/PATHS CAN SUPPRESS TRANSPORT THROUGH COHERENT CANCELLATION RATHER THAN ENHANCE MIXING	M-173; M-175; S-356	P-172; P-173	M-173:Nonlinear inverse ambiguity | M-175:Incoherence + low rank | S-356:Structured missingness/low rank	P-172:Coherent disorder | P-173:Phase coherence	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
